排序,一级目录,二级目录,岗位工作内容
1,前厅/门店服务,店长/副店长,负责门店日常运营管理，制定业绩目标，管控服务、卫生与食品安全，统筹员工排班、培训与考核，处理客诉，优化成本与流程，保障门店高效运转，完成经营指标。
,,大堂经理,维护前厅服务秩序，监督员工服务标准，接待顾客并处理突发问题，协调前后厅配合，做好现场管理与卫生检查，提升顾客用餐体验，协助店长完成门店管理工作。
,,领班/主管,带领服务班组完成接待、点餐、上菜等工作，落实服务规范，督导员工仪容仪表与工作效率，协助处理客诉，做好班前班后安排，保障服务流程顺畅。
,,服务员/传菜,负责顾客接待、点餐、上菜、撤台等服务，保持餐桌与区域整洁，主动响应顾客需求，配合团队完成服务流程，遵守门店规章制度，提升用餐满意度。
,,迎宾/接待,负责门店入口迎宾、引位、排队引导，热情接待顾客，解答咨询，做好客流登记与等位安排，维护前厅形象，配合服务团队提升到店体验。
,,收银员/前台,负责门店收银结算、开票、储值办理，核对账单与账目，做好收银设备维护，接待顾客咨询，配合前厅完成接待与结算工作，保证账目准确无误。
,,打包/送餐,按标准完成餐品打包、核对订单，保障餐品完整与卫生，负责门店内 / 外送餐，及时送达并确认订单，做好打包区清洁，配合出餐流程高效运转。
,,营业/售卖员,负责门店产品陈列、售卖与推介，接待到店顾客，完成销售结算，做好货品盘点与补货，保持售卖区整洁，主动推广产品，完成门店销售指标。
2,后厨-厨师,厨师长,统筹厨房管理，制定菜单与出品标准，管控食材成本与质量，安排后厨分工与培训，监督菜品制作流程，保障出品稳定、安全高效，落实卫生规范。
,,炉子/主厨/炒锅,负责热菜炒制、调味与出品，把控火候与口味，按标准完成菜品制作，配合厨房流程，维护灶台设备，保障出餐速度与菜品质量。
,,白案/面条/饺子,负责面食、饺子、面点制作，把控面团、馅料与成型标准，保证出品口感与品相，配合出餐节奏，做好操作台清洁与食材管理。
,,凉菜/冷盘/腊卤,负责凉菜、卤味、冷盘制作与摆盘，把控食材新鲜度与调味，按标准出品，做好冷藏与卫生管理，保障冷菜安全与口感稳定。
,,点心/烘焙,负责点心、糕点制作与烘焙，把控配方、温度与成型，保证点心口感与品相，做好原料管理与设备清洁，配合门店出餐需求。
,,蒸菜/上什,负责蒸制菜品、高汤制作与上什工作，把控蒸制时间与火候，保证菜品鲜嫩入味，做好蒸箱维护与区域卫生，配合厨房出品流程。
,,汤锅/煲汤/粥水,负责高汤、汤品、粥水熬制，把控食材配比与熬制时长，保证汤品浓郁鲜香，做好汤锅维护与食材管理，保障每日出品稳定。
